instnm,Latitude location of institution (HD2019),Institution (entity) name (HD2019),Institution name alias (HD2019),Longitude location of institution (HD2019),Office of Postsecondary Education (OPE) ID Number (HD2019),Latitude location of institution (HD2012),Longitude location of institution (HD2012),Office of Postsecondary Education (OPE) ID Number (HD2012),
All Beauty College,35.239812,All Beauty College, ,-114.027481,04174201  ,,,,
All-State Career School,39.866057,All-State Career School, ,-75.303038,02495500  ,39.868236,-75.280691,02495500  ,
All-State Career School-Health Sciences,39.866163,All-State Career School-Health Sciences, ,-75.302151,02495502  ,39.866518,-75.301210,02495502  ,
All-State Career School-Pittsburgh,40.358492,All-State Career School-Pittsburgh, ,-79.937130,03493302  ,40.396915,-79.828242,03072400  ,
All-State Career-Baltimore,39.264664,All-State Career-Baltimore, ,-76.544942,03493300  ,39.264664,-76.544942,03493300  ,
Allan Hancock College,34.943716,Allan Hancock College, ,-120.421144,00111100  ,34.942979,-120.421486,00111100  ,
Allegany College of Maryland,39.652152,Allegany College of Maryland, ,-78.730398,00205700  ,39.652658,-78.729766,00205700  ,
Allegheny College,41.648690,Allegheny College, ,-80.147168,00323000  ,41.648068,-80.146922,00323000  ,
Allegheny Wesleyan College,40.867220,Allegheny Wesleyan College, ,-80.861232,03457300  ,40.867236,-80.860091,03457300  ,
Allen College,42.530084,Allen College, ,-92.340148,03069100  ,42.531427,-92.338018,03069100  ,
Allen County Community College,37.938038,Allen County Community College,Allen Community College,-95.396377,00190100  ,37.937698,-95.396810,00190100  ,
Allen School-Brooklyn,40.693797,Allen School-Brooklyn,Allen School of Health Sciences - Brooklyn,-73.991546,03358301  ,40.693797,-73.991546,03358301  ,
Allen School-Jamaica,40.704694,Allen School-Jamaica,Allen School of Health Sciences - Jamaica,-73.796295,03358300  ,40.704694,-73.796295,03358300  ,
Allen School-Phoenix,33.629635,Allen School-Phoenix,Allen School of Health Sciences - Phoenix,-112.117430,03358303  ,33.629421,-112.116872,03358303  ,
Allen University,34.010348,Allen University,Allen University,-81.020045,00341700  ,34.010348,-81.020045,00341700  ,
Allgood Beauty Institute,33.157310,Allgood Beauty Institute,ABI,-96.804131,04267200  ,,,,
Alliance Career Center,40.911271,Alliance Career Center, ,-81.111225,03015100  ,40.926791,-81.111858,03015100  ,
Alliance Computing Solutions,40.761560,Alliance Computing Solutions, ,-73.831481,04223300  ,,,,
Alliant International University-San Diego,32.897056,Alliant International University-San Diego, ,-117.094398,01111700  ,32.897056,-117.094398,01111700  ,
Allied Health Careers Institute,35.827799,Allied Health Careers Institute, ,-86.391495,04253100  ,,,,
Allstate Hairstyling & Barber College,41.484002,Allstate Hairstyling & Barber College,Allstate Barber College,-81.704403,02324400  ,41.483816,-81.704253,02324400  ,
Alma College,43.380040,Alma College, ,-84.672053,00223600  ,43.379236,-84.670073,00223600  ,
Alpena Community College,45.081647,Alpena Community College, ,-83.445069,00223700  ,45.081647,-83.445069,00223700  ,
Altierus Career College-Bissonnet,29.677415,Altierus Career College-Bissonnet, ,-95.544702,00149916  ,29.677344,-95.545008,02606202  ,
Altierus Career College-Norcross,33.934121,Altierus Career College-Norcross, ,-84.155475,00149917  ,33.934121,-84.155475,01112301  ,
Altierus Career College-Tampa,27.996582,Altierus Career College-Tampa, ,-82.497616,00149900  ,27.996582,-82.497616,00153400  ,
Altierus Career College-Thornton,39.861560,Altierus Career College-Thornton, ,-104.985441,00450700  ,39.861560,-104.985441,00450700  ,
Altoona Beauty School Inc,40.501861,Altoona Beauty School Inc, ,-78.387852,02290400  ,40.501788,-78.387331,02290400  ,
Alvernia University,40.310028,Alvernia University, ,-75.936754,00323300  ,40.310200,-75.938163,00323300  ,
Alverno College,42.982842,Alverno College, ,-87.965174,00383200  ,42.983518,-87.965498,00383200  ,
Alvin Community College,29.396244,Alvin Community College,Alvin|ACC|Dolphins,-95.240671,00353900  ,29.396581,-95.241078,00353900  ,
Amarillo College,35.187839,Amarillo College, ,-101.846988,00354000  ,35.188410,-101.847104,00354000  ,
Amberton University,32.859931,Amberton University, ,-96.653020,02259400  ,32.859937,-96.653028,02259400  ,
Ambiance Beauty & Barber Academy Inc,28.117559,Ambiance Beauty & Barber Academy Inc, ,-80.673575,04195100  ,28.117734,-80.672659,04195100  ,
Ambria College of Nursing,42.075628,Ambria College of Nursing, ,-88.210900,04124700  ,42.078917,-88.210123,04124700  ,
America Evangelical University,34.041239,America Evangelical University, ,-118.308661,04227100  ,,,,
American Academy McAllister Institute of Funeral Service,40.769031,American Academy McAllister Institute of Funeral Service,AAMI,-73.993782,01081300  ,40.769031,-73.993782,01081300  ,
American Academy of Acupuncture and Oriental Medicine,45.015332,American Academy of Acupuncture and Oriental Medicine,American Academy of Traditional Chinese Medicine  Inc.,-93.181060,03833300  ,45.015783,-93.181424,03833300  ,
American Academy of Art,41.877420,American Academy of Art, ,-87.624788,00162800  ,41.877824,-87.624396,00162800  ,
American Academy of Cosmetology,30.123757,American Academy of Cosmetology, ,-81.798803,04151500  ,30.123304,-81.798436,04151500  ,
American Academy of Dramatic Arts-Los Angeles,34.095378,American Academy of Dramatic Arts-Los Angeles, ,-118.343701,00746501  ,34.095315,-118.344097,00746501  ,
American Academy of Dramatic Arts-New York,40.745545,American Academy of Dramatic Arts-New York, ,-73.984843,00746500  ,40.745545,-73.984843,00746500  ,
American Academy of Health and Beauty,42.967431,American Academy of Health and Beauty, ,-71.480701,04162200  ,42.967397,-71.480340,04162200  ,
American Advanced Technicians Institute,25.884901,American Advanced Technicians Institute,AATI,-80.323025,03491400  ,25.884901,-80.323025,03491400  ,
American Baptist College,36.202623,American Baptist College, ,-86.789912,01046000  ,36.201155,-86.789301,01046000  ,
American Baptist Seminary of the West,37.865252,American Baptist Seminary of the West,ABSW,-122.256149,00112000  ,37.865252,-122.256149,00112000  ,
American Barber Academy,40.322290,American Barber Academy, ,-75.930347,04257900  ,,,,
American Beauty Academy,40.034634,American Beauty Academy, ,-111.733488,04169900  ,40.042942,-111.733778,04169900  ,
American Beauty Academy-West Valley Campus,40.692128,American Beauty Academy-West Valley Campus, ,-111.938189,04169901  ,,,,
American Beauty College,34.069367,American Beauty College, ,-117.936959,01307400  ,33.884391,-118.125036,01307400  ,
American Beauty School,40.835331,American Beauty School, ,-73.860639,03903400  ,40.835231,-73.860710,03903400  ,
American Beauty Schools,25.761572,American Beauty Schools, ,-80.327707,04263500  ,,,,
