instnm,Longitude location of institution (HD2019),Latitude location of institution (HD2019),City location of institution (HD2019),Office of Postsecondary Education (OPE) ID Number (HD2019),
American College of Healthcare and Technology,-118.224906,33.978807,Huntington Park,03144402  ,
American College of Healthcare Sciences,-122.675858,45.486902,Portland,04194400  ,
American College of the Building Arts,-79.946888,32.805094,Charleston,04283000  ,
American Conservatory Theater,-122.404750,37.787343,San Francisco,02099200  ,
American Educational College,-66.150990,18.397931,Bayamon,02303800  ,
American Film Institute Conservatory,-118.310018,34.107670,Los Angeles,02222000  ,
American Fitness and Nutrition Academy,-118.131854,34.139700,Pasadena,04265600  ,
American Hair Academy,-91.524949,40.962643,Mt. Pleasant,02289000  ,
American Indian OIC Inc,-93.246155,44.961993,Minneapolis,02514100  ,
American Institute of Alternative Medicine,-82.988733,40.102442,Columbus,03534400  ,
American Institute of Alternative Medicine,-74.392845,40.438155,East Brunswick,04234400  ,
American Institute of Beauty,-82.749094,27.915072,Largo,04016500  ,
American Institute of Healthcare & Technology,-73.150918,41.170738,Stratford,04279000  ,
American Institute of Interior Design,-111.715081,33.604860,Fountain Hills,04148700  ,
American Institute of Massage Therapy,-117.848291,33.714880,Santa Ana,03962300  ,
American Institute of Medical Sciences & Education,-74.437251,40.561140,Piscataway,04136400  ,
American Institute of Medical Technology,-95.856621,36.098554,Tulsa,04060300  ,
American Institute-Clifton,-74.130158,40.873516,CLIFTON,02106601  ,
American Institute-Somerset,-74.544122,40.550890,Somerset,02106606  ,
American Institute-Toms River,-74.220894,40.044556,Toms River,02106605  ,
American Institute-West Hartford,-72.725762,41.727016,West Hartford,02106600  ,
American InterContinental University,-111.804036,33.278816,Chandler,02113600  ,
American InterContinental University-Atlanta,-84.354907,33.938779,Atlanta,02113613  ,
American InterContinental University-Houston,-95.548302,29.728216,Houston,02113610  ,
American International College,-72.558338,42.112346,Springfield,00211400  ,
American Islamic College,-87.646898,41.954969,Chicago,02311300  ,
American Jewish University,-118.471706,34.128153,Los Angeles,00274100  ,
American Massage & Bodywork Institute,-77.244736,38.926154,Vienna,04276300  ,
American Medical Academy,-80.393361,25.662730,Miami,04192100  ,
American Medical Sciences Center,-118.256991,34.147117,Glendale,04159700  ,
American Musical and Dramatic Academy,-73.987549,40.772275,New York,00757200  ,
American National University,-80.023602,37.299743,Salem,00372600  ,
American National University-Dayton,-84.127340,39.701120,Kettering,00372609  ,
American National University-Lexington,-84.421099,38.026996,Lexington,01048900  ,
American Public University System,-77.860121,39.287826,Charles Town,03819300  ,
American River College,-121.349672,38.650850,Sacramento,00123200  ,
American Samoa Community College,-170.742774,-14.322636,PagoPago,01001000  ,
American School of Nursing and Medical Careers,-71.468655,42.997765,Manchester,00466607  ,
American Sentinel University,-104.831161,39.676610,Aurora,04127700  ,
American Technical Institute,-66.177409,18.376070,Bayamon,04176000  ,
American Trade School,-90.380141,38.728760,Saint Ann,04174800  ,
American University,-77.088875,38.936005,Washington,00143400  ,
American University of Health Sciences,-118.171366,33.796849,Signal Hill,03225300  ,
American University of Puerto Rico,-66.478655,18.434072,Manati,01194101  ,
American University of Puerto Rico,-66.186631,18.407058,Bayamon,01194100  ,
AmeriTech College-Draper,-111.892792,40.527932,Draper,02270800  ,
AmeriTech College-Provo,-111.669276,40.261512,Provo,02270804  ,
AMG School of Licensed Practical Nursing,-73.982035,40.692794,Brooklyn,04234900  ,
Amherst College,-72.518493,42.372459,Amherst,00211500  ,
Amridge University,-86.174010,32.362609,Montgomery,02503400  ,
Amslee Institute,-82.433630,27.379792,Sarasota,-2        ,
Anabaptist Mennonite Biblical Seminary,-85.972165,41.656013,Elkhart,00182300  ,
Ancilla College,-86.445263,41.337958,Donaldson,00178400  ,
Anderson University,-85.664315,40.112768,Anderson,00178500  ,
Anderson University,-82.640358,34.515200,Anderson,00341800  ,
Andover Newton Theological School,-72.921380,41.323386,Lexington,00211600  ,
Andrew College,-84.795021,31.772321,Cuthbert,00154500  ,
Andrews University,-86.355815,41.963859,Berrien Springs,00223800  ,
Angeles College,-118.299030,34.061223,Los Angeles,04160400  ,
Angeles Institute,-118.080741,33.875772,ARTESIA,04164400  ,
Angelina College,-94.731625,31.287444,Lufkin,00666100  ,
Angelo State University,-100.465051,31.440914,San Angelo,00354100  ,
Ann Webb Skin Institute,-97.751895,30.419687,Austin,04265400  ,
Anna Maria College,-71.918960,42.330542,Paxton,00211700  ,
Anne Arundel Community College,-76.512223,39.049813,Arnold,00205800  ,
Annenberg School of Nursing,-118.553851,34.200825,Reseda,04191300  ,
Anoka Technical College,-93.416087,45.216709,Anoka,00735000  ,
Anoka-Ramsey Community College,-93.351697,45.172978,Coon Rapids,00233200  ,
Another Level Barbering and Cosmetology School,-77.403817,37.228645,Petersburg,04275900  ,
Anousheh School of Hair,-75.917306,42.087554,Binghamton,04275100  ,
Anson College of Cosmetology,-80.055083,34.963535,Wadesboro,03237300  ,
Antelope Valley College,-118.186166,34.676207,Lancaster,00111300  ,
Antilles School of Technical Careers,-66.059206,18.438416,San Juan,02234900  ,
Antioch College,-83.888077,39.799806,Yellow Springs,04244300  ,
Antioch University Online,-83.908684,39.803210,Yellow Springs,-2        ,
Antioch University-Los Angeles,-118.384458,33.988533,Culver City,00301002  ,
Antioch University-Midwest,-83.908684,39.803210,Yellow Springs,00301000  ,
Antioch University-New England,-72.293798,42.932344,Keene,00301004  ,
Antioch University-PhD Program in Leadership and Change,-83.908684,39.803210,Yellow Springs,00301010  ,
Antioch University-Santa Barbara,-119.695800,34.419203,Santa Barbara,00301003  ,
Antioch University-Seattle,-122.346318,47.615916,Seattle,00301005  ,
Antioch University-System Administration,-83.908684,39.803210,Yellow Springs,00301000  ,
Antonelli College-Cincinnati,-84.510735,39.104312,Cincinnati,01289100  ,
Antonelli College-Hattiesburg,-89.335692,31.349549,Hattiesburg,01289102  ,
Antonelli College-Jackson,-90.149713,32.380927,Jackson,01289101  ,
AOMA Graduate School of Integrative Medicine,-97.800643,30.228551,Austin,03156400  ,
Aparicio-Levy Technical College,-82.332285,27.990625,Tampa,04194200  ,
Apex Academy Hair Skin Nails School of Cosmetology,-82.577702,40.771672,Ontario,04266100  ,
Apex School of Theology,-78.841386,35.922645,Durham,03513400  ,
Apex Technical School,-73.941511,40.750430,Long Island City,00751800  ,
Apollo Career Center,-84.149151,40.692999,Lima,02562300  ,
Appalachian Beauty School,-82.266793,37.624479,Belfry,02159100  ,
Appalachian Bible College,-81.198867,37.853335,Mount Hope,00754400  ,
Appalachian College of Pharmacy,-82.006195,37.211629,Oakwood,04180600  ,
Appalachian School of Law,-82.095648,37.277669,Grundy,03559300  ,
Appalachian State University,-81.680583,36.215536,Boone,00290600  ,
Applied Technology Services,-90.413236,38.542285,Sunset Hills,03068600  ,
Aquinas College,-85.628785,42.960190,Grand Rapids,00223900  ,
Aquinas Institute of Theology,-90.237795,38.634329,Saint Louis,00163200  ,
Arapahoe Community College,-105.018631,39.607505,Littleton,00134600  ,
Arcadia University,-75.163876,40.092606,Glenside,00323500  ,
Arclabs,-82.461311,34.770720,Piedmont,04222000  ,
Aria Health School of Nursing,-74.978275,40.125175,Trevose,00972300  ,
Arizona Academy of Beauty-East,-110.872305,32.237253,Tucson,00886400  ,
Arizona Board of Regents,-112.074468,33.470161,Phoenix,02598000  ,
Arizona Christian University,-112.181776,33.622952,Glendale,00711300  ,
Arizona College-Dallas,-96.759990,32.923106,Dallas,03115003  ,
Arizona College-Glendale,-112.154233,33.566360,Glendale,03115000  ,
Arizona College-Las Vegas,-115.171331,36.145600,Las Vegas,03115002  ,
Arizona College-Mesa,-111.873428,33.418374,Mesa,03115001  ,
Arizona College-Tempe,-111.965808,33.403079,Tempe,03115004  ,
Arizona Culinary Institute,-111.831237,33.581935,Scottsdale,04120900  ,
